2025-11-16 14:58:11.874 | DEBUG    | p8fs.providers.kv:_put_table:436 - TiDB KV: Stored tenant-test/Q4 Roadmap/resource successfully
2025-11-16 14:58:11.915 | DEBUG    | p8fs.repository.BaseRepository:_populate_entity_key_index:540 - Indexed graph edge: Q4 Roadmap → 7fb12e5d-67f7-57e6-ac75-da13d3276f00
2025-11-16 14:58:11.915 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:11.999 | DEBUG    | p8fs.providers.kv:_get_table:520 - TiDB KV: fetchone() returned: None, type: <class 'NoneType'>
2025-11-16 14:58:11.999 | DEBUG    | p8fs.providers.kv:_get_table:530 - TiDB KV: No result for key tenant-test/Vitality App/resource
2025-11-16 14:58:12.043 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:12.043 | ERROR    | p8fs.providers.kv:_get_tikv:502 - TiKV get operation failed for key tenant-test/Vitality App/resource: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:12.043 | WARNING  | p8fs.providers.kv:get:462 - TiKV get also failed: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:12.045 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:12.045 | ERROR    | p8fs.providers.kv:_put_tikv:392 - TiKV put operation failed for key tenant-test/Vitality App/resource: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:12.045 | WARNING  | p8fs.providers.kv:put:344 - TiKV put failed, falling back to table storage: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:12.045 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:12.088 | DEBUG    | p8fs.providers.kv:_put_table:419 - TiDB KV: Storing key=tenant-test/Vitality App/resource, ttl=None
2025-11-16 14:58:12.187 | DEBUG    | p8fs.providers.kv:_put_table:436 - TiDB KV: Stored tenant-test/Vitality App/resource successfully
2025-11-16 14:58:12.230 | DEBUG    | p8fs.repository.BaseRepository:_populate_entity_key_index:540 - Indexed graph edge: Vitality App → 7fb12e5d-67f7-57e6-ac75-da13d3276f00
2025-11-16 14:58:12.231 | DEBUG    | p8fs.providers.tidb:connect_async:1031 - Async connection requested, returning sync connection (aiomysql not implemented yet)
2025-11-16 14:58:12.231 | DEBUG    | p8fs.providers.tidb:_init_connection_pool:967 - Initializing TiDB connection pool: max_connections=10, max_usage=100, max_lifetime=3600s
2025-11-16 14:58:12.746 | DEBUG    | p8fs.providers.tidb:_init_connection_pool:995 - TiDB connection pool initialized successfully
2025-11-16 14:58:12.746 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:12.786 | DEBUG    | p8fs.repository.BaseRepository:upsert:397 - Upserting Moment with fields: ['id', 'created_at', 'updated_at', 'name', 'category', 'content', 'summary', 'ordinal', 'uri', 'metadata', 'graph_paths', 'resource_timestamp', 'userid', 'resource_ends_timestamp', 'present_persons', 'location', 'background_sounds', 'moment_type', 'emotion_tags', 'topic_tags', 'images', 'speakers', 'key_emotions', 'tenant_id']
2025-11-16 14:58:12.829 | DEBUG    | p8fs.providers.tidb:execute:1090 - Executing query: INSERT INTO moments (id, created_at, updated_at, name, category, content, summary, ordinal, uri, met...
2025-11-16 14:58:12.924 | DEBUG    | p8fs.repository.BaseRepository:upsert:417 - Successfully async upserted 1 Moment entities
2025-11-16 14:58:12.930 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:12.972 | DEBUG    | p8fs.providers.tidb:execute:1090 - Executing query: 
            REPLACE INTO embeddings.moments_embeddings
            (id, entity_id, field_name, embe...
2025-11-16 14:58:13.161 | INFO     | p8fs.repository.BaseRepository:_generate_embeddings_for_entities:976 - Generated and stored 1 embeddings in batch
2025-11-16 14:58:13.161 | INFO     | p8fs.providers.kv:__init__:290 - TiDB KV: TiKV client available, will use native client for operations without TTL. Endpoints: ['fresh-cluster-pd-0.fresh-cluster-pd-peer.tikv-cluster.svc.cluster.local:2379', 'fresh-cluster-pd-1.fresh-cluster-pd-peer.tikv-cluster.svc.cluster.local:2379']
2025-11-16 14:58:13.161 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:13.243 | DEBUG    | p8fs.providers.kv:_get_table:520 - TiDB KV: fetchone() returned: None, type: <class 'NoneType'>
2025-11-16 14:58:13.243 | DEBUG    | p8fs.providers.kv:_get_table:530 - TiDB KV: No result for key tenant-test/CEO Vision and Priorities/moments
2025-11-16 14:58:13.287 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.287 | ERROR    | p8fs.providers.kv:_get_tikv:502 - TiKV get operation failed for key tenant-test/CEO Vision and Priorities/moments: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.287 | WARNING  | p8fs.providers.kv:get:462 - TiKV get also failed: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.289 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.289 | ERROR    | p8fs.providers.kv:_put_tikv:392 - TiKV put operation failed for key tenant-test/CEO Vision and Priorities/moments: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.289 | WARNING  | p8fs.providers.kv:put:344 - TiKV put failed, falling back to table storage: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.289 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:13.330 | DEBUG    | p8fs.providers.kv:_put_table:419 - TiDB KV: Storing key=tenant-test/CEO Vision and Priorities/moments, ttl=None
2025-11-16 14:58:13.415 | DEBUG    | p8fs.providers.kv:_put_table:436 - TiDB KV: Stored tenant-test/CEO Vision and Priorities/moments successfully
2025-11-16 14:58:13.459 | DEBUG    | p8fs.repository.BaseRepository:_populate_entity_key_index:516 - Indexed entity name: CEO Vision and Priorities → c7476df6-4fdb-5677-9968-fc3a080f48d1
2025-11-16 14:58:13.459 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:13.541 | DEBUG    | p8fs.providers.kv:_get_table:520 - TiDB KV: fetchone() returned: None, type: <class 'NoneType'>
2025-11-16 14:58:13.541 | DEBUG    | p8fs.providers.kv:_get_table:530 - TiDB KV: No result for key tenant-test/David/resource
2025-11-16 14:58:13.588 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.589 | ERROR    | p8fs.providers.kv:_get_tikv:502 - TiKV get operation failed for key tenant-test/David/resource: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.589 | WARNING  | p8fs.providers.kv:get:462 - TiKV get also failed: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.591 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.591 | ERROR    | p8fs.providers.kv:_put_tikv:392 - TiKV put operation failed for key tenant-test/David/resource: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.591 | WARNING  | p8fs.providers.kv:put:344 - TiKV put failed, falling back to table storage: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.591 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:13.633 | DEBUG    | p8fs.providers.kv:_put_table:419 - TiDB KV: Storing key=tenant-test/David/resource, ttl=None
2025-11-16 14:58:13.730 | DEBUG    | p8fs.providers.kv:_put_table:436 - TiDB KV: Stored tenant-test/David/resource successfully
2025-11-16 14:58:13.772 | DEBUG    | p8fs.repository.BaseRepository:_populate_entity_key_index:540 - Indexed graph edge: David → c7476df6-4fdb-5677-9968-fc3a080f48d1
2025-11-16 14:58:13.772 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:13.854 | DEBUG    | p8fs.providers.kv:_get_table:520 - TiDB KV: fetchone() returned: {'value': '{"entity_ids": ["7fb12e5d-67f7-57e6-ac75-da13d3276f00"], "entity_type": "project/planning", "table_name": "resources"}'}, type: <class 'dict'>
2025-11-16 14:58:13.854 | DEBUG    | p8fs.providers.kv:_get_table:525 - TiDB KV: Retrieved value for tenant-test/Launch Timeline/resource
2025-11-16 14:58:13.898 | ERROR    | p8fs.providers.kv:_get_async_tikv_client:319 - Failed to connect to TiKV: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.898 | ERROR    | p8fs.providers.kv:_put_tikv:392 - TiKV put operation failed for key tenant-test/Launch Timeline/resource: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.898 | WARNING  | p8fs.providers.kv:put:344 - TiKV put failed, falling back to table storage: [/Users/runner/.cargo/git/checkouts/client-rust-5a1ccd35a54db20f/b12f95e/src/pd/cluster.rs:189]: PD cluster failed to respond
2025-11-16 14:58:13.898 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:13.978 | DEBUG    | p8fs.providers.kv:_put_table:419 - TiDB KV: Storing key=tenant-test/Launch Timeline/resource, ttl=None
2025-11-16 14:58:14.138 | DEBUG    | p8fs.providers.kv:_put_table:436 - TiDB KV: Stored tenant-test/Launch Timeline/resource successfully
2025-11-16 14:58:14.198 | DEBUG    | p8fs.repository.BaseRepository:_populate_entity_key_index:540 - Indexed graph edge: Launch Timeline → c7476df6-4fdb-5677-9968-fc3a080f48d1
2025-11-16 14:58:14.198 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:14.281 | DEBUG    | p8fs.providers.kv:_get_table:520 - TiDB KV: fetchone() returned: {'value': '{"entity_ids": ["7fb12e5d-67f7-57e6-ac75-da13d3276f00"], "entity_type": "project/product", "table_name": "resources"}'}, type: <class 'dict'>
